jurisdiction,zone,lots,acres,status,verified_fields,total_fields,missing_required,untrusted_fields,blocking
or/multnomah/portland,R5,73690,15663.8,partial,0,11,,coverage_curve;land_division_parent_standards;max_height_ft;min_density_trigger_lot_sqft;min_lot_sqft;min_units_at_trigger;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft,73690
or/multnomah/portland,R7,32341,9667.61,partial,0,11,,coverage_curve;land_division_parent_standards;max_height_ft;min_density_trigger_lot_sqft;min_lot_sqft;min_units_at_trigger;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft,32341
or/multnomah/portland,R2.5,26785,4602.52,partial,0,11,,coverage_curve;land_division_parent_standards;max_height_ft;min_density_trigger_lot_sqft;min_lot_sqft;min_units_at_trigger;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft,26785
or/multnomah/portland,RM1,14426,3735.83,partial,0,13,,land_division_parent_standards;max_coverage_pct;max_far;max_height_ft;min_density_du_per_acre;min_landscaped_pct;min_lot_sqft;min_lot_width_ft;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft,14426
or/multnomah/gresham,LDR-5,12854,5257.12,partial,0,13,,land_division_parent_standards;max_height_ft;min_density_du_per_acre;min_frontage_ft;min_lot_sqft;min_lot_width_ft;parking_min_per_unit;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft;setback_street_side_ft,12854
or/multnomah/portland,R10,12349,5259.77,partial,0,9,,coverage_curve;land_division_parent_standards;max_height_ft;min_lot_sqft;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft,12349
or/multnomah/gresham,LDR-7,8650,2902.69,partial,0,13,,land_division_parent_standards;max_height_ft;min_density_du_per_acre;min_frontage_ft;min_lot_sqft;min_lot_width_ft;parking_min_per_unit;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft;setback_street_side_ft,8650
or/multnomah/portland,RM2,8235,1941.85,partial,0,13,,land_division_parent_standards;max_coverage_pct;max_far;max_height_ft;min_density_du_per_acre;min_landscaped_pct;min_lot_sqft;min_lot_width_ft;quadplex_allowed;setback_front_ft;setback_garage_entrance_ft;setback_rear_ft;setback_side_ft,8235
or/multnomah/portland,CM2,6727,2045.07,partial,0,12,,land_division_parent_standards;max_coverage_pct;max_far;max_height_ft;min_density_du_per_acre;min_landscaped_pct;orientation_constraint;quadplex_allowed;setback_front_ft;setback_front_max_ft;setback_rear_ft;setback_side_ft,6727
or/multnomah/portland,OS,2717,17312.92,partial,0,2,,land_division_parent_standards;quadplex_allowed,2717
or/multnomah/troutdale,LDR-1,2176,693.32,partial,0,12,,land_division_parent_standards;max_height_ft;min_frontage_ft;min_lot_depth_ft;min_lot_sqft;min_lot_width_ft;parking_min_per_unit;quadplex_allowed;setback_front_ft;setback_rear_ft;setback_side_ft;setback_street_side_ft,2176
or/multnomah/portland,IG2,2154,8689.15,partial,0,2,,land_division_parent_standards;quadplex_allowed,2154
or/multnomah/portland,CX,1790,1624.72,partial,0,11,,land_division_parent_standards;max_coverage_pct;max_far;max_height_ft;min_landscaped_pct;orientation_constraint;quadplex_allowed;setback_front_ft;setback_front_max_ft;setback_rear_ft;setback_side_ft,1790
or/multnomah/portland,CM3,1655,751.97,partial,0,12,,land_division_parent_standards;max_coverage_pct;max_far;max_height_ft;min_density_du_per_acre;min_landscaped_pct;orientation_constraint;quadplex_allowed;setback_front_ft;setback_front_max_ft;setback_rear_ft;setback_side_ft,1655
or/multnomah/portland,CM1,1614,386.85,partial,0,11,,land_division_parent_standards;max_coverage_pct;max_far;max_height_ft;min_landscaped_pct;orientation_constraint;quadplex_allowed;setback_front_ft;setback_front_max_ft;setback_rear_ft;setback_side_ft,1614
