layer,ref,mentions,binding,sources,sample,ruling
or/multnomah/gresham,10.1700,34,8,4.1400.pleasant-valley.txt 4.1500.springwater.txt 4.1100.downtown.txt 4.0100.residential.txt 4.0400.corridor.txt 4.1200.civic-neighborhood.txt 4.0200.commercial.txt 4.0300.industrial.txt,6.                                    Affordable housing development is subject to the provisions in Section                                       10.1700.,
or/multnomah/wood-village,300,14,8,230.200.txt 235.200.txt 240.200.txt 250.200.txt 260.200.txt 210.310.txt 210.320.txt 220.310.txt 220.320.txt,Housing types are flexible but limited in the light residential zones in order to maintain and enhance the overall character of less dense neighborhoods compare,
or/multnomah/gresham,9.0851,22,5,4.1400.pleasant-valley.txt 4.1500.springwater.txt 4.0300.industrial.txt 4.0400.corridor.txt,G. Minimum Bicycle Parking Required                                                         See Section 9.0851                                            See Se,
or/multnomah/fairview,19.480,6,5,19.135.txt 19.30.txt 19.65.txt 19.70.txt 19.80.txt 19.85.txt,a. Uses similar to those listed above                                                                                                                           ,
or/multnomah/troutdale,6.300,5,5,3.zoning-districts.txt,B.     Uses that require conditional use approval in accordance with Section 6.300 of this Code are,
or/clackamas/happy-valley,16.44.050,7,4,16.22.residential.txt,Accessory dwelling units complying with Section 16.44.050,
or/multnomah/_unincorporated,39.3140,4,4,39.lr-10.txt 39.lr-5.txt 39.lr-7.txt 39.mr-4.txt,(A) Except as provided in MCC 39.3140(B),
or/clackamas/_unincorporated,1012,15,3,zdo.315.txt zdo.1012.txt,"Section 1012 applies to the following land use permit applications in any zoning district that has a minimum lot size standard, district land area standard, or ",
or/multnomah/fairview,19.245,11,3,19.65.txt 19.70.txt 19.85.txt 19.13.definitions.txt 19.135.txt 19.80.txt,"“Wireless communication equipment” includes cell towers, antennas, monopoles, and related facilities used for radio signal transmission and receiving (see Chapt",
or/clackamas/_unincorporated,845,10,3,zdo.315.txt,"The development of a triplex, quadplex, townhouse, or cottage cluster is subject to Section 845, Triplexes, Quadplexes, Townhouses, and Cottage Clusters.",
or/multnomah/gresham,10.0420,9,3,4.1100.downtown.txt 4.1200.civic-neighborhood.txt 4.1400.pleasant-valley.txt 4.1500.springwater.txt 7.0500.rockwood-design.txt,•    Conversion of a hotel or motel to an emergency shelter or aﬀordable housing under Section 10.0420,
or/clackamas/_unincorporated,1105,6,3,zdo.1012.txt zdo.315.txt,"Middle housing dwelling units; however, middle housing land divisions are permitted pursuant to Section 1105, Subdivisions, Partitions, Replats, Middle Housing ",
or/multnomah/wood-village,640,6,3,240.200.txt 230.200.txt 235.200.txt 250.200.txt 260.200.txt,C. Prohibited Uses. Uses shown in Table 230-1 with the letter “N” are prohibited in the zone. Legally established uses and development which existed at the time,
or/clackamas/happy-valley,16.61,5,3,16.22.residential.txt 16.12.definitions.txt 16.63.land-divisions.txt,An action or decision that requires substantial discretion or judgment in applying the standards or criteria of this Code to the facts of a development proposal,
or/multnomah/gresham,10.1520,5,3,4.0100.residential.txt 4.0400.corridor.txt 4.1100.downtown.txt 4.1400.pleasant-valley.txt,with Section 10.1520                                            of the Community Development Code.,
or/multnomah/wood-village,220.400,5,3,210.310.txt 210.375.txt 220.310.txt 220.320.txt 220.355.txt,*See Section 220.400 for additional standards and requirements on cottage housing.,
or/multnomah/_unincorporated,004,4,3,39.rural-residential.txt 39.mua-20.txt 39.or.txt,"660, Division 004;",
or/multnomah/portland,33.251,4,3,33.120.txt 33.110.txt 33.266.txt,(See Chapter 33.251)                                                               Yes                                  Yes                                   Ye,
or/multnomah/portland,33.236,3,3,33.110.txt 33.120.txt 33.140.txt,(See Chapter 33.236)                                                               Yes                                  Yes                                   Ye,
