layer,zone,field,when,verdict,quote,text
or,(default),max_density_du_per_acre,,stated,or/oar.660-046-0220.txt#L55,"Density: If a Large City applies density maximums in a zone, it may not apply those maximums to the development of Quadplex and Triplexes."
or/clackamas/_unincorporated,R10,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,R15,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,R20,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,R30,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,R5,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,R7,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,R8.5,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,VR45,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/_unincorporated,VR57,max_density_du_per_acre,,stated,or/clackamas/_unincorporated/zdo.1012.txt#L73,"1 Density is a measurement of the number of dwelling units in relationship to a specified amount of land. In the context of a partition, subdivision, replat, or manufactured home park, density typically relates to potential dwelling units in the form of lots, parcels, or manufactured home park space"
or/clackamas/gladstone,(default),parking_max_per_unit,,stated,"or/clackamas/gladstone/17.48.parking.txt#L141,L156,L159-L160,L171-L172,L174-L176","17.48.030 Table 1 | USE | ZONE A MAX. ALLOWED | ZONE B MAX. ALLOWED | (b) | Duplex, Triplex, Quadplex, Townhouse, Cottage | Min: None | Max: None | Not Applicable"
or/clackamas/gladstone,R10,max_density_du_per_acre,,stated,"or/clackamas/gladstone/17.10.r-7.2.txt#L209,L213-L214",Maximum Density | Middle housing | None
or/clackamas/gladstone,R10,max_units,unit_lots,stated,"or/clackamas/gladstone/17.10.r-7.2.txt#L209,L212","Maximum Density | This code does not allow for the creation of more than four dwelling units on a lot, including accessory dwelling units. Cottage clusters and townhomes are exempt."
