id,verdict,flags,layer,zone,row,encoded,read,form,confidence,for_this_zone,alternatives,fragment,note,quote,notes_seen,notes_changing,changes_the_figure,variants_held,unheld_exception,effects
00007,agree,noted,or/clackamas/_unincorporated,defaults,parking_min_per_unit,1,1,spaces per unit,clear,unknown,"Townhouse row, same two columns: 1 | Quadplex under MR-1 & MR-2 and most other columns: Same as multifamily dwelling | unnumbered exception below the table: minimums may be reduced 40 percent within a quarter mile of light rail",Quadplex | Zoning District: R-5 – R-30: 1[3]; Zoning District: VR-4/5 & VR-5/7: 1[3] (Table 1015-2),Zone is the layer default but the 1 is read from only two of the nine district columns (R-5 – R-30 and VR-4/5 & VR-5/7); the Quadplex row reads Same as multifamily dwelling in most of the others.,"or/clackamas/_unincorporated/zdo.1015.txt#L218,L220-L222,L334-L336,L356,L360",5,1,True,0,True,[3] no additional spaces required where an existing detached house is converted to middle housing
00060,agree,,or/clackamas/_unincorporated,VR57,max_height_ft,35,35,feet,clear,True,,Maximum Building Height | VR-5/7: 35 feet[9],,or/clackamas/_unincorporated/zdo.315.txt#L1320-L1323,27,0,False,0,False,
00061,agree,,or/clackamas/_unincorporated,VR57,setback_front_ft,10,10,feet,clear,True,19½ feet to the garage door/carport motor vehicle entry for a dwelling with a non-recessed garage/carport,Minimum Front Setback | VR-5/7: 10 feet for a dwelling with a recessed garage/carport or no garage/carport,,or/clackamas/_unincorporated/zdo.315.txt#L1324-L1327,27,2,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive"
00062,agree,,or/clackamas/_unincorporated,VR57,setback_front_max_ft,18,18,feet,clear,True,20½ feet to the garage door/carport motor vehicle entry for a dwelling with a non-recessed garage/carport,Maximum Front Setback | VR-5/7: 18 feet for a dwelling with a recessed garage/carport or no garage/carport,,or/clackamas/_unincorporated/zdo.315.txt#L1328-L1331,27,4,True,0,True,[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [18] a public utility easement that precludes compliance moves the maximum as close to the front lot line as possible | [19] exempt where the lot has less than 35 feet of street frontage | [20] with more than one front lot line only two intersecting front lot lines must meet the maximum
00063,agree,,or/clackamas/_unincorporated,VR57,setback_garage_entrance_ft,19.5,19.5,feet,clear,True,"10 feet for a dwelling with a recessed garage/carport or no garage/carport | 20½ feet, the same branch of the Maximum Front Setback row",Minimum Front Setback | VR-5/7: 19½ feet to the garage door/carport motor vehicle entry for a dwelling with a non-recessed garage/carport,,or/clackamas/_unincorporated/zdo.315.txt#L1324-L1327,27,2,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive"
00064,agree,,or/clackamas/_unincorporated,VR57,setback_side_ft,5,5,feet,inferred,True,0 on one side,"Minimum Side Setback | VR-5/7: 0 on one side; 5 feet on all other sides[9,12,21]",,or/clackamas/_unincorporated/zdo.315.txt#L1335-L1338,27,3,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive | [21] 0 in a planned unit development except at rear/side lot lines on the plat perimeter; it supersedes this cell"
00065,agree,noted,or/clackamas/_unincorporated,VR57,setback_rear_ft,15,15,feet,clear,True,"15 feet[21], the second printed value","Minimum Rear Setback | 15 feet[9,12,13,21] (first of two values printed under three column headers)","The Minimum Rear Setback row prints only two values under three column headers (VR-5/7, VR-4/5, VTH), so the column mapping cannot be proved from the extract; both printed values are 15 feet.",or/clackamas/_unincorporated/zdo.315.txt#L1332-L1334,27,3,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive | [21] 0 in a planned unit development except at rear/side lot lines on the plat perimeter; it supersedes this cell"
00066,agree,noted,or/clackamas/_unincorporated,VR57,max_coverage_pct,50,50,percent,clear,True,"50 percent[8], the second printed value",Maximum Lot Coverage | 50 percent[8] (first of two values printed under three column headers),"The Maximum Lot Coverage row prints only two values under three column headers, so the column mapping cannot be proved from the extract; both printed values are 50 percent.",or/clackamas/_unincorporated/zdo.315.txt#L1297-L1299,27,0,False,0,False,
00068,agree,,or/clackamas/_unincorporated,VR45,max_height_ft,35,35,feet,clear,True,,Maximum Building Height | VR-4/5: 35 feet[9],,or/clackamas/_unincorporated/zdo.315.txt#L1320-L1323,27,0,False,0,False,
00069,agree,,or/clackamas/_unincorporated,VR45,setback_front_ft,10,10,feet,clear,True,"VR-5/7 cell: 10 feet recessed, 19½ feet to a non-recessed garage door","Minimum Front Setback | VR-4/5: 10 feet[12,13,14]",,or/clackamas/_unincorporated/zdo.315.txt#L1324-L1327,27,2,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive"
00070,agree,,or/clackamas/_unincorporated,VR45,setback_front_max_ft,18,18,feet,clear,True,"VR-5/7 cell: 18 feet recessed, 20½ feet to a non-recessed garage door","Maximum Front Setback | VR-4/5: 18 feet[12,13,18,19,20]",,or/clackamas/_unincorporated/zdo.315.txt#L1328-L1331,27,4,True,0,True,[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [18] a public utility easement that precludes compliance moves the maximum as close to the front lot line as possible | [19] exempt where the lot has less than 35 feet of street frontage | [20] with more than one front lot line only two intersecting front lot lines must meet the maximum
00071,agree,,or/clackamas/_unincorporated,VR45,setback_side_ft,5,5,feet,inferred,True,0 on one side,"Minimum Side Setback | VR-4/5: 0 on one side; 5 feet on all other sides[9,12,21]",,or/clackamas/_unincorporated/zdo.315.txt#L1335-L1338,27,3,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive | [21] 0 in a planned unit development except at rear/side lot lines on the plat perimeter; it supersedes this cell"
00072,agree,noted,or/clackamas/_unincorporated,VR45,setback_rear_ft,15,15,feet,clear,True,"15 feet[9,12,13,21], the first printed value",Minimum Rear Setback | 15 feet[21] (second of two values printed under three column headers),"The Minimum Rear Setback row prints only two values under three column headers, so which one is VR-4/5 cannot be proved from the extract; both are 15 feet.",or/clackamas/_unincorporated/zdo.315.txt#L1332-L1334,27,3,True,0,True,"[12] setback standards do not apply in a Sunnyside Village Resource Protection Area | [13] 0 on a middle housing lot, except at the plat perimeter or lot lines abutting a road/access drive | [21] 0 in a planned unit development except at rear/side lot lines on the plat perimeter; it supersedes this cell"
00073,agree,noted,or/clackamas/_unincorporated,VR45,max_coverage_pct,50,50,percent,clear,True,"50 percent[8], the first printed value",Maximum Lot Coverage | 50 percent[8] (second of two values printed under three column headers),"The Maximum Lot Coverage row prints only two values under three column headers, so which one is VR-4/5 cannot be proved from the extract; both are 50 percent.",or/clackamas/_unincorporated/zdo.315.txt#L1297-L1299,27,0,False,0,False,
00104,agree,,or/clackamas/happy-valley,defaults,parking_min_per_unit,1,1,spaces per unit,clear,True,Single-family detached row: 2 per dwelling | Multifamily dwellings containing five or more units: 1 per dwelling[5],"Single-family attached (townhome), duplex, triplex, quadplex, cottage cluster | Minimum Parking Spaces: 1 per dwelling[3,5]",,or/clackamas/happy-valley/16.43.parking.txt#L215-L216,5,2,True,0,True,"[3] no additional spaces required for a housing type conversion, e.g. a detached house to a triplex | [5] exempt from the minimum where units are under 750 sq ft, or affordable, publicly supported or SRO housing"
00111,agree,,or/clackamas/happy-valley,R40,max_height_ft,45,45,feet,clear,True,"49 feet at side and rear elevations, per note 5",Building height (maximum) | R-40: 45 feet[5],,"or/clackamas/happy-valley/16.22.residential.txt#L278,L298",7,2,True,0,True,"[5] 45 ft is the front elevation; side and rear elevations may reach 49 ft (worded for single-family residential) | [6] after a middle housing land division of a fourplex the standard applies to the parent lot, not the child lot"
