layer,field,verdict,nearness,path,line,section,stated,novel,held,repeats,text
or/clackamas/_unincorporated,max_coverage_pct,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1257,315.04,65,65,50,1,5 Maximum lot coverage in a planned unit development is 65 percent.
or/clackamas/_unincorporated,setback_rear_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1269,315.04,10,10,"15,20",1,"1 The minimum rear setback for a detached single-family dwelling, duplex, manufactured home, prefabricated structure, or single room occupancy is 10 feet."
or/clackamas/_unincorporated,max_height_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1275,315.04,"8,10,15","8,10,15",35,1,Building Area Building Height ≤ 8 feet Building Height > 8 feet and ≤ 10 feet Building Height > 10 feet and ≤ 15 feet Building Height > 15 feet
or/clackamas/_unincorporated,max_height_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1367,315.04,25,25,35,3,"25 feet or the building height of the primary dwelling, whichever is less[24]"
or/clackamas/_unincorporated,max_height_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1386,315.04,8,8,35,1,Building Height ≤ 8 feet
or/clackamas/_unincorporated,max_height_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1387,315.04,"8,20","8,20",35,1,Building Height > 8 feet and ≤ 20 feet
or/clackamas/_unincorporated,max_height_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1388,315.04,20,20,35,1,Building Height > 20 feet
or/clackamas/_unincorporated,setback_front_max_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1434,315.04,35,35,18,1,[19] Dwellings located on lots with less than 35 feet of street frontage shall be exempt from the maximum front setback standard.
or/clackamas/_unincorporated,max_height_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1559,315.04,"8,10","8,10",35,1,Building Area Building Height ≤ 8 feet Building Height > 8 feet and ≤ 10 feet Building Height > 10 feet
or/clackamas/_unincorporated,setback_side_ft,unheld,same_field,or/clackamas/_unincorporated/zdo.315.txt,1566,315.04,10,10,5,1,"[14] If the side lot line abuts an Urban Low Density Residential, VR-5/7, or VR-4/5 District, the minimum side setback for a two-story building is 10 feet."
