id,line,outcome,confidence,misfiled,layer,document,section,lots,field,states,zones,figure,condition,duplicates,fragment,note,text
M0000,2030,not_here,clear,True,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.275,195708,setback_front_ft,2.0,,3.5,,,Fences up to 3-1/2 feet high are allowed in required front building setbacks,"33.110.275 is the fence chapter; the sentence sets the maximum HEIGHT of a fence that may stand inside the front setback, not the front setback itself. The reader's 2.0 is a mis-parse of '3-1/2'. Fence height has no screen field.",1. Front building setbacks. Fences up to 3-1/2 feet high are allowed in required front
M0000,2039,not_here,clear,True,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.275,195708,setback_rear_ft,8.0,,8,not abutting a pedestrian connection,,Fences up to 8 feet high are allowed in required side or rear building setbacks,"8 ft is the maximum fence height permitted within a side or rear setback, not a rear setback distance. A fence standard, not a standard on our building.",a. Fences up to 8 feet high are allowed in required side or rear building setbacks
M0000,2059,not_here,clear,True,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.275,195708,setback_front_ft,8.0,,8,"corner lot, main entrance on side-street facade",,"Fences up to 8 feet high are allowed in the required front building setback,","Corner-lot fence exception (C.3.c): 8 ft is fence height allowed inside the front setback, outside the first 10 ft of the side street lot line. Not a front setback distance.","c. Fences up to 8 feet high are allowed in the required front building setback,"
M0000,2061,not_here,clear,True,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.275,195708,setback_rear_ft,8.0,,8,"corner lot, main entrance on side-street facade",,Fences up to 8 feet high are allowed in all other side or rear building setbacks.,Corner-lot fence exception (C.3.d): fence height within side/rear setbacks. Not a rear setback distance.,d. Fences up to 8 feet high are allowed in all other side or rear building setbacks.
M0001,559,not_here,inferred,False,or/multnomah/portland,or/multnomah/portland/33.140.txt,33.140.210,195708,max_height_ft,10.0 | 5.0,,10,"projection with width, depth or diameter of 5 ft or less",,"10 feet above the height limit, or 5 feet above the highest point of the roof, whichever is greater","33.140.210.C.1: an allowance for chimneys, flag poles, satellite dishes and similar items to rise ABOVE the height limit. It presupposes the limit rather than stating it; the base limit lives in Table 140-3 (the L590/L597 cite we hold for EX). Note the other chapter zones (EG1, EG2, IG1, IG2, IH) hold no max height at all, but that gap is not stated by this line.","10 feet above the height limit, or 5 feet above the highest point of the roof, whichever"
M0001,562,not_here,clear,False,or/multnomah/portland,or/multnomah/portland/33.140.txt,33.140.210,195708,max_height_ft,4.0,,4,parapets and rooftop railings,,Parapets and rooftop railings may extend 4 feet above the height limit.,"A projection allowance above the height limit for parapets/railings, not the building height limit.",2. Parapets and rooftop railings may extend 4 feet above the height limit.
M0001,566,not_here,clear,False,or/multnomah/portland,or/multnomah/portland/33.140.txt,33.140.210,195708,max_height_ft,16.0,,16,"elevator mechanical equipment, set back 15 ft from street-facing roof edges",,Elevator mechanical equipment may extend up to 16 feet above the height limit,"Rooftop mechanical exception, not the building height limit. A two-storey no-elevator townhouse pod has no elevator equipment anyway.",a. Elevator mechanical equipment may extend up to 16 feet above the height
M0001,569,not_here,inferred,False,or/multnomah/portland,or/multnomah/portland/33.140.txt,33.140.210,195708,max_height_ft,10.0,,10,other mechanical equipment and stairwell enclosures covering no more than 10% of roof area,,more than 10 percent of the roof area may extend up to 10 feet above the height limit.,Rooftop mechanical/stairwell-enclosure exception above the height limit (subject on L568). Not the building height limit.,more than 10 percent of the roof area may extend up to 10 feet above the height
M0002,2030,not_here,clear,True,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.275,2855,setback_front_ft,2.0,,3.5,,,Fences up to 3-1/2 feet high are allowed in required front building setbacks,"Same text as Portland 33.110.275 adopted for unincorporated Multnomah pockets: maximum fence height in the front setback, not the front setback distance. Reader's 2.0 is a mis-parse of '3-1/2'.",1. Front building setbacks. Fences up to 3-1/2 feet high are allowed in required front
M0002,2039,not_here,clear,True,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.275,2855,setback_rear_ft,8.0,,8,not abutting a pedestrian connection,,Fences up to 8 feet high are allowed in required side or rear building setbacks,"Fence height within side/rear setbacks, not a rear setback distance.",a. Fences up to 8 feet high are allowed in required side or rear building setbacks
