id,layer,field,path,line,section,nearness,repeats,text,stated,held,verdict,binds,reader_number,reader_standard,reader_about,reader_note
00000,or/clackamas/_unincorporated,max_coverage_pct,or/clackamas/_unincorporated/zdo.315.txt,1257,315.04,same_field,1,5 Maximum lot coverage in a planned unit development is 65 percent.,65,50,agree,no,,,"footnote to Table 315-2 (Urban Low Density Residential districts) allowing a raised maximum lot coverage of 65 percent, ","""Maximum lot coverage in a planned unit development is 65 percent"" only replaces the table's default 50 percent maximum when the project is being processed as a planned unit development; nothing says this building is being developed that way, so the general 50 percent row governs instead, not this exception."
00001,or/clackamas/_unincorporated,setback_rear_ft,or/clackamas/_unincorporated/zdo.315.txt,1269,315.04,same_field,1,"1 The minimum rear setback for a detached single-family dwelling, duplex, manufactured home, prefabricated structure, or single room occupancy is 10 feet.",10,"15,20",agree,no,,,"minimum rear setback (10 feet) for detached single-family dwelling, duplex, manufactured home, prefabricated structure, ","The note lists specific building types entitled to this reduced rear setback -- ""detached single-family dwelling, duplex, manufactured home, prefabricated structure, or single room occupancy"" -- and a four-unit attached building is none of those."
00002,or/clackamas/_unincorporated,max_height_ft,or/clackamas/_unincorporated/zdo.315.txt,1275,315.04,same_field,1,Building Area Building Height ≤ 8 feet Building Height > 8 feet and ≤ 10 feet Building Height > 10 feet and ≤ 15 feet Building Height > 15 feet,"8,10,15",35,agree,no,,,column-heading row (building-height bands) labeling the accessory-building setback table under footnote 11,"This is a header naming the height bands used by the following rows, not a number itself, and the table it introduces (per footnote 11) sets standards for buildings accessory to the dwelling."
00003,or/clackamas/_unincorporated,max_height_ft,or/clackamas/_unincorporated/zdo.315.txt,1367,315.04,same_field,3,"25 feet or the building height of the primary dwelling, whichever is less[24]",25,35,agree,no,,,"maximum building height (25 feet or the primary dwelling's height, whichever is less) for buildings accessory to a dwell","The row is under ""Standards for Buildings Accessory to a Dwelling,"" so it governs a secondary structure, not the primary four-unit building itself."
00004,or/clackamas/_unincorporated,max_height_ft,or/clackamas/_unincorporated/zdo.315.txt,1386,315.04,same_field,1,Building Height ≤ 8 feet,8,35,agree,no,,,"column-heading row (""Building Height <= 8 feet"") for the accessory-building side/rear setback table in the VR-5/7, VR-4/","It is a header labeling a height band, and the table it heads is titled ""Minimum Rear and Side Setback Standards for Buildings Accessory to a Primary Dwelling,"" i.e. accessory structures only."
00005,or/clackamas/_unincorporated,max_height_ft,or/clackamas/_unincorporated/zdo.315.txt,1387,315.04,same_field,1,Building Height > 8 feet and ≤ 20 feet,"8,20",35,agree,no,,,"column-heading row (""Building Height > 8 feet and <= 20 feet"") in the same accessory-building setback table","Same accessory-building setback table as the line above; a header, not a standard for the primary dwelling."
00006,or/clackamas/_unincorporated,max_height_ft,or/clackamas/_unincorporated/zdo.315.txt,1388,315.04,same_field,1,Building Height > 20 feet,20,35,agree,no,,,"column-heading row (""Building Height > 20 feet"") in the same accessory-building setback table","Same accessory-building setback table; a header row, not a standard for the primary dwelling."
00007,or/clackamas/_unincorporated,setback_front_max_ft,or/clackamas/_unincorporated/zdo.315.txt,1434,315.04,same_field,1,[19] Dwellings located on lots with less than 35 feet of street frontage shall be exempt from the maximum front setback standard.,35,18,agree,no,,,"exemption from the maximum front setback standard for dwellings on lots with less than 35 feet of street frontage, Table","""shall be exempt from the maximum front setback standard"" removes an obligation rather than creating one; it does not itself state a number the building must meet."
00008,or/clackamas/_unincorporated,max_height_ft,or/clackamas/_unincorporated/zdo.315.txt,1559,315.04,same_field,1,Building Area Building Height ≤ 8 feet Building Height > 8 feet and ≤ 10 feet Building Height > 10 feet,"8,10",35,agree,no,,,"column-heading row (building-height bands) for the accessory-building rear/side setback table under footnote 12, Table 3","""[12]The minimum rear and side setback standards for an accessory building are based on the building area and height, as follows"" -- the table this header sits in is explicitly for accessory buildings."
00009,or/clackamas/_unincorporated,setback_side_ft,or/clackamas/_unincorporated/zdo.315.txt,1566,315.04,same_field,1,"[14] If the side lot line abuts an Urban Low Density Residential, VR-5/7, or VR-4/5 District, the minimum side setback for a two-story building is 10 feet.",10,5,missed,yes,10,minimum side setback for a two-story building (where the side lot line abuts a lower-density district),"minimum side setback (10 feet) for a two-story building whose side lot line abuts an Urban Low Density Residential, VR-5","""the minimum side setback for a two-story building is 10 feet"" is not restricted to any particular building type and this building is two-story, so if its side lot line abuts one of the named districts this figure would bind."
