layer,path,line,section,ref,followed,text
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.401.txt,77,401.04,401.07,,"2 Permitted uses are subject to the applicable provisions of Subsection 401.07; Section 1000, Development Standards; and Section 1100, Development Review Process."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.406.txt,53,406.04,406.07,,"2 Permitted uses are subject to the applicable provisions of Subsection 406.07; Subsection 406.08; Section 1000, Development Standards; and Section 1100, Development Review Process."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.406.txt,53,406.04,406.08,,"2 Permitted uses are subject to the applicable provisions of Subsection 406.07; Subsection 406.08; Section 1000, Development Standards; and Section 1100, Development Review Process."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.510.txt,33,510.03,510.04,,"4 Permitted uses are subject to the applicable provisions of Subsection 510.04, Dimensional Standards, Subsection 510.05, Development Standards, Section 1000, Development Standards, and Section 1100, "
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.511.txt,25,511.03,511.04,,"2 Permitted uses are subject to the applicable provisions of Subsection 511.04, Dimensional Standards, Subsection 511.05, Development Standard, Section 1000, Development Standards, and Section 1100, D"
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.602.txt,25,602.03,602.04,,"2 Permitted uses are subject to the applicable provisions of Subsection 602.04, Dimensional Standards, Subsection 602.05, Development Standards, Section 1000, Development Standards, and Section 1100, "
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt,1451,50.04.001.3,50.04.003,,"When subdivisions are proposed in the R-W and R-3 zones or multi-family development is proposed in the R-3 zone, the number of lots or dwelling units required shall be determined by dividing the net d"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt,1453,50.04.001.3,50.04.003,,"When subdivisions are proposed in the R-2 or R-0 zones or multi-family development is proposed in the R-0 zone, minimum density is computed by multiplying the net developable area by either 20 or 12 p"
or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,2680,19.309.2,19.509,,Marijuana and psilocybin production and cultivation facilities are subject to the regulations in Section 19.509.
or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,2912,19.310.2,19.509.2,,Warehousing and distribution (marijuana warehousing shall be subject to the security and odor control standards of Subsection 19.509.2).
or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,3048,19.310.5,19.509,,Marijuana producers and processors. Marijuana producers and processors shall be subject to the security and odor control standards of Section 19.509.
or/clackamas/milwaukie,or/clackamas/milwaukie/19.600.parking.txt,933,19.607.1,19.505.4,,"No portion of an off-street parking space is allowed within the following areas. These standards do not apply to off-street parking for cottage clusters, which are subject to the standards in Subsecti"
or/clackamas/milwaukie,or/clackamas/milwaukie/19.600.parking.txt,971,19.607.1,19.505.4,,"These standards do not apply to off-street parking for cottage clusters, which are subject to the standards in Subsection 19.505.4; nor to townhouses, which are subject to the standards in Subsection "
or/clackamas/milwaukie,or/clackamas/milwaukie/19.600.parking.txt,971,19.607.1,19.505.5,,"These standards do not apply to off-street parking for cottage clusters, which are subject to the standards in Subsection 19.505.4; nor to townhouses, which are subject to the standards in Subsection "
