id,verdict,flags,layer,zone,row,encoded,read,form,confidence,for_this_zone,alternatives,fragment,note,quote,document
00000,agree,noted,or,defaults,parking_min_per_unit,4.0,4,spaces total,clear,unknown,"1 space in total for lots under 3,000 sq ft | 2 spaces in total for lots 3,000 to under 5,000 sq ft | 3 spaces in total for lots 5,000 to under 7,000 sq ft","For Quadplexes, a Large City may require up to the following off-street parking spaces: ... (iv) For Lots or Parcels greater than or equal to 7,000 square feet: four spaces in total.","Figure applies only to lots of 7,000 sq ft or more and is a ceiling on what a Large City may require ('up to'), stated as spaces in total per quadplex rather than a per-unit minimum.","or/oar.660-046-0220.txt#L79,L90-L91",or/oar.660-046-0220.txt
00001,agree,noted,or,defaults,parking_min_per_unit [],1.0,1,spaces total,clear,unknown,"2 spaces in total for lots 3,000 to under 5,000 sq ft | 3 spaces in total for lots 5,000 to under 7,000 sq ft","For Quadplexes, a Large City may require up to the following off-street parking spaces: (i) For Lots or Parcels of less than 3,000 square feet: one space in total;","Figure applies only to lots under 3,000 sq ft and is a ceiling on what a Large City may require ('up to'), stated as spaces in total per quadplex rather than a per-unit minimum.","or/oar.660-046-0220.txt#L79,L81-L82",or/oar.660-046-0220.txt
00002,agree,noted,or,defaults,parking_min_per_unit [],2.0,2,spaces total,clear,unknown,"1 space in total for lots under 3,000 sq ft | 3 spaces in total for lots 5,000 to under 7,000 sq ft | 4 spaces in total for lots 7,000 sq ft or more","For Quadplexes, a Large City may require up to ... (ii) For Lots or Parcels greater than or equal to 3,000 square feet and less than 5,000 square feet: two spaces in total;","Figure applies only to lots of 3,000 to under 5,000 sq ft and is a ceiling on what a Large City may require ('up to'), stated as spaces in total per quadplex rather than a per-unit minimum.","or/oar.660-046-0220.txt#L79,L84-L85",or/oar.660-046-0220.txt
00003,agree,noted,or,defaults,parking_min_per_unit [],3.0,3,spaces total,clear,unknown,"1 space in total for lots under 3,000 sq ft | 2 spaces in total for lots 3,000 to under 5,000 sq ft | 4 spaces in total for lots 7,000 sq ft or more","For Quadplexes, a Large City may require up to ... (iii) For Lots or Parcels greater than or equal to 5,000 square feet and less than 7,000 square feet: three spaces in total; and","Figure applies only to lots of 5,000 to under 7,000 sq ft and is a ceiling on what a Large City may require ('up to'), stated as spaces in total per quadplex rather than a per-unit minimum.","or/oar.660-046-0220.txt#L79,L87-L88",or/oar.660-046-0220.txt
00004,agree,noted,or/clackamas/_unincorporated,defaults,driveway_approach_max_width_ft,32,32,feet,clear,unknown,,Driveway Entries: ... The total width of all driveway entries shall not exceed 32 feet.,Section 845.02 is the triplex/quadplex (single-lot) section and names no zoning district; L49 adds that multi-frontage lots must access the lowest-classification street and lots abutting an improved alley must take access from the alley.,"or/clackamas/_unincorporated/zdo.845.txt#L19,L43-L49",or/clackamas/_unincorporated/zdo.845.txt
00005,agree,,or/clackamas/_unincorporated,defaults,parking_area_max_frontage_pct,50,50,percent,clear,unknown,no width cap where the garage or parking area is separated from the street by a dwelling (845.02(4)(a)),The combined width of all garages and off-street parking areas located between a building and a public street does not exceed a total of 50 percent of the street frontage,,"or/clackamas/_unincorporated/zdo.845.txt#L19,L51-L55",or/clackamas/_unincorporated/zdo.845.txt
00006,agree,noted,or/clackamas/_unincorporated,defaults,parking_maneuvering_max_width_ft [unit_lots],12,12,feet,clear,unknown,"50 percent of the street frontage for a triplex/quadplex on one lot (845.02(4)(b), the base case) | garage width also capped at 12 feet, measured from the inside of the garage door frame (845.03(5)(a)(iv))",Driveway Access and Parking: Townhouse lots with frontage on a public street ... Driveways and off-street parking areas shall not exceed 12 feet wide.,Applies only where parking sits between the townhouse and a public street on a lot with at least 15 ft of local-street frontage and one driveway entry; developments not meeting all of these must keep parking out of that area and consolidate access (845.03(5)(b)).,"or/clackamas/_unincorporated/zdo.845.txt#L57,L99-L109",or/clackamas/_unincorporated/zdo.845.txt
00007,agree,noted,or/clackamas/_unincorporated,defaults,parking_min_per_unit,1,1,spaces per unit,inferred,unknown,"Same as multifamily dwelling in the VTH, MR-1 & MR-2, SCMU and MRR columns | N/A (not allowed) in the HR and RA-1 & RA-2 columns | unlabelled nearby row cells read '1 per dwelling unit 800 square feet or less' / '2 per dwelling unit greater than 800 square feet' (L350-L351), possibly the multifamily row",Quadplex | 1[3] | 1[3] | Same as multifamily dwelling in all other zoning districts,"The 1-per-unit figure sits only in the R-5 - R-30 and VR-4/5 & VR-5/7 columns (footnote [1] says spaces per dwelling unit); other districts defer to the multifamily row, and footnote [3] concerns conversion of an existing single-family dwelling, not new construction.","or/clackamas/_unincorporated/zdo.1015.txt#L218,L220-L222,L334-L336,L356,L360",or/clackamas/_unincorporated/zdo.1015.txt
00008,agree,noted,or/clackamas/_unincorporated,defaults,parking_stall_width_ft,9,9,feet,inferred,unknown,18 ft if the drawing's order is depth x width,PARKING AND AISLE ... LAYOUT DETAILS (9' x 18') P100,"OCR-garbled title block of a county roadway standard drawing (P100), not zoning text; '9' x 18'' is read as width x depth by convention and the passage does not label which figure is the width or call it a minimum.",or/clackamas/_unincorporated/roadway.p100.txt#L2,or/clackamas/_unincorporated/roadway.p100.txt
00009,agree,noted,or/clackamas/_unincorporated,defaults,parking_stall_depth_ft,18,18,feet,inferred,unknown,9 ft if the drawing's order is depth x width,PARKING AND AISLE ... LAYOUT DETAILS (9' x 18') P100,"OCR-garbled title block of a county roadway standard drawing (P100), not zoning text; '9' x 18'' is read as width x depth by convention and the passage does not label which figure is the depth or call it a minimum.",or/clackamas/_unincorporated/roadway.p100.txt#L2,or/clackamas/_unincorporated/roadway.p100.txt
