layer,bucket,field,path,line,section,repeats,text
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,99,,1,"If NR exceeds 15 percent of the GSA, only 15 percent of the GSA shall be subtracted."
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,105,,1,Slopes greater than 50 percent;
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,119,,1,Slopes equal to or greater than 20 percent and less than or equal to 50 percent; and
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,129,,1,Slopes greater than 25 percent;
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,177,,1,10 percent of the base density
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,178,,1,10 percent of the base density1
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,181,,1,25 percent of the base density4
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,183,,1,15 percent of the base density
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,184,,1,60 percent of the base density
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,226,,1,Slopes equal to or greater than 20 percent;
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,246,,1,"By 90 percent in the MR-2, HDR, and SHD Districts; or"
or,unfielded,,or/clackamas/_unincorporated/zdo.1012.txt,248,,1,By 50 percent in the VA District.
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1152,,1,"2,500/2,000 square feet"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1187,,8,"15 feet, except 20 feet to garage and carport motor vehicle entries7"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1276,,1,"≤ 100 square feet None 3 feet side and rear 5 feet side and rear 5 feet side, 10 feet rear"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1308,,2,50 percent of lots with frontage on an alley
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1326,,1,"10 feet 12,13,14"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1336,,2,"0 on one side; 5 feet on all other sides9,12,21"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1363,,3,3 feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1389,,1,≤ 100 square feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1393,,1,> 100 square feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1463,,2,"3,630 square feet"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1465,,1,"2,420 square feet"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1466,,1,"1,742 square feet"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1467,,1,"1,500 square feet"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1468,,1,726 square feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1487,,1,"15 feet, except 20 feet to garage and carport motor vehicle entries"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1488,,1,"15 feet, except 20 feet to garage and carport motor vehicle entries3,4"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1489,,1,"15 feet, except 20 feet to garage and carport motor vehicle entries4"
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1492,,1,15 feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1523,,1,45 feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1527,,1,10 feet
or,unfielded,,or/clackamas/_unincorporated/zdo.315.txt,1531,,1,20 feet between multifamily dwellings
or,unfielded,,or/clackamas/_unincorporated/zdo.845.txt,7,,1,"7,000 square feet for a quadplex or a cottage cluster."
or,unfielded,,or/clackamas/_unincorporated/zdo.845.txt,39,,2,Is a minimum of 25 square feet in area; and
or,unfielded,,or/clackamas/_unincorporated/zdo.845.txt,147,,1,A minimum of 50 percent of dwellings within a cluster shall:
or,unfielded,,or/clackamas/_unincorporated/zdo.845.txt,205,,1,The maximum width of each garage door is 20 feet.
or,unfielded,,or/clackamas/gladstone/17.06.definitions.txt,1013,17.06.358,1,"“Net acre” means an area measuring 43,560 square feet, which excludes:"
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,57,17.10.030,1,(a) Front—20 feet.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,59,17.10.030,1,(b) Side—7.5 feet or five feet for irregularly shaped lots.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,61,17.10.030,1,(c) Street side—20 feet.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,63,17.10.030,1,(d) Rear—15 feet.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,67,17.10.030,1,(a) Are detached from other buildings on the same lot by a minimum of 10 feet;
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,71,17.10.030,1,(c) Do not exceed a floor area of 450 square feet.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,75,17.10.030,1,(a) Do not exceed a floor area of 120 square feet.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,169,17.10.050,2,20 ft
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,176,17.10.050,1,7.5 ft or 5 ft due to irregular shaped lots
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,190,17.10.050,1,5 ft
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,197,17.10.050,1,15 ft
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,204,17.10.050,1,35 ft
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,339,17.10.065,1,(c) The common courtyard must be a minimum of 15 feet wide at its narrowest dimension.
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,363,17.10.065,1,"(A) Within 20 feet from any street property line, except alley property lines;"
or,unfielded,,or/clackamas/gladstone/17.10.r-7.2.txt,379,17.10.065,1,(c) Individual detached garages must not exceed 400 square feet in floor area.
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,59,17.12.030,1,(a) Front—20 feet or 10 feet within Gladstone Town Center.
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,63,17.12.030,1,(c) Street Side—20 feet or 10 feet within Gladstone Town Center.
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,65,17.12.030,1,(d) Rear—15 feet.
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,73,17.12.030,1,(c) Does not exceed a floor area of 450 square feet;
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,147,17.12.040,1,(10) Community commercial within 200 feet from the Portland Avenue C-2 district.
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,182,17.12.050,2,20 ft
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,183,17.12.050,2,10 ft within Gladstone Town Center
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,190,17.12.050,1,5 ft
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,205,17.12.050,1,15 ft
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,212,17.12.050,1,35 ft
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,216,17.12.050,1,At least 20 percent of the total area of the lot
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,346,17.12.065,1,(c) The common courtyard must be a minimum of 15 feet wide at its narrowest dimension.
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,370,17.12.065,1,"(A) Within 20 feet from any street property line, except alley property lines;"
or,unfielded,,or/clackamas/gladstone/17.12.r-5.txt,386,17.12.065,1,(c) Individual detached garages must not exceed 400 square feet in floor area.
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,107,16.22.010,1,Lot depth (minimum) 200 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,110,16.22.010,1,Front 32 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,111,16.22.010,1,Side 12 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,112,16.22.010,1,Rear 32 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,113,16.22.010,1,Street side (corner lot) 15 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,283,16.22.020,1,Lot depth (minimum) 200 feet 100 feet 90 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,285,16.22.020,1,Lots fronting on cul-de-sac 70 feet 50 feet 50 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,286,16.22.020,1,All other lots 100 feet 80 feet 60 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,287,16.22.020,2,Townhomes 20 feet 20 feet 20 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,290,16.22.020,2,Front 22 feet 22 feet 22 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,291,16.22.020,2,Rear 22 feet 22 feet 22 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,292,16.22.020,1,Interior side 15/04 feet 10/04 feet 7/04 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,293,16.22.020,2,Street side (corner lot) 15 feet 15 feet 15 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,294,16.22.020,1,"Cottage cluster, front 10 feet 10 feet 10 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,295,16.22.020,1,"Cottage cluster, rear 10 feet 10 feet 10 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,296,16.22.020,1,"Cottage cluster, interior side 10 feet 10 feet 7 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,297,16.22.020,1,"Cottage cluster, street side 10 feet 10 feet 10 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,473,16.22.030,1,Lot depth (minimum) 80 feet 70 feet 70 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,475,16.22.030,1,Lots fronting on cul-de-sac 35 feet 35 feet 35 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,476,16.22.030,1,All other lots 50 feet 50 feet 50 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,483,16.22.030,1,Interior side 7/04 feet 5/04 feet 5/04 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,484,16.22.030,1,Garage and carport entrances 22 feet 22 feet 22 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,487,16.22.030,1,"Cottage clusters, side 7 feet 7 feet 7 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,649,16.22.040,1,Lot depth (minimum) 60 feet Variable4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,651,16.22.040,1,Lots fronting on cul-de-sac 35 feet Variable4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,652,16.22.040,1,All other lots 40 feet Variable4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,653,16.22.040,1,Townhomes 20 feet 20 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,658,16.22.040,1,Front (street access garage) 20 feet 20 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,659,16.22.040,1,Front (alley access garage) 10 feet 10 feet4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,660,16.22.040,1,Rear 20 feet 20 feet4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,661,16.22.040,1,"Interior side 5/0 feet 3 5/0 feet3,4"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,662,16.22.040,1,Street side (corner lot) 8 feet 8 feet4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,663,16.22.040,1,"Cottage cluster, front 10 feet 10 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,664,16.22.040,1,"Cottage cluster, rear 10 feet 10 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,665,16.22.040,1,"Cottage cluster, interior side 5 feet 5 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,666,16.22.040,1,"Cottage cluster, street side 8 feet 8 feet"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,668,16.22.040,1,Entrances not facing an alley 22 feet 22 feet4
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,963,16.22.050,2,75%12
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,982,16.22.050,1,"5 feet 10,11"
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,984,16.22.050,4,10 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,987,16.22.050,2,22 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,1001,16.22.050,1,18 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,1005,16.22.050,1,35 feet
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,1007,16.22.050,3,400 sq. ft./unit provided in accordance with Section 16.42.080
or,unfielded,,or/clackamas/happy-valley/16.22.residential.txt,1114,16.22.050,1,Only one accessory structure per lot may exceed 100 square feet in area.
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,882,50.03.003.6,1,"Food markets < 25,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,890,50.03.003.6,1,"Food markets 25,000 sq. ft. gross floor area or more"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1008,50.03.003.6,1,"Commercial recreational facility < 5,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1019,50.03.003.6,1,"Commercial recreational facility ≥ 5,000 sq. ft. and < 20,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1029,50.03.003.6,1,"Commercial recreational facility ≥ 20,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1033,50.03.003.6,1,"Fitness and exercise facilities, > 5,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1044,50.03.003.6,1,"Fitness and exercise facilities, ≥ 5,000 sq. ft. and < 20,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1055,50.03.003.6,1,"Fitness and exercise facilities, ≥ 20,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1070,50.03.003.6,1,"Retail < 10,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1083,50.03.003.6,1,"Retail ≥ 10,000 and < 20,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.03.002.use-table.txt,1093,50.03.003.6,1,"Retail ≥ 20,000 sq. ft. gross floor area"
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,290,50.04.001.1,4,"For lots less than or equal to 10,000 sq. ft. in area – up to 200 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,294,50.04.001.1,4,"For lots greater than 10,000 sq. ft. in area – up to 400 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,324,50.04.001.1,1,"R-7.5: 1,000 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,328,50.04.001.1,1,"R-10 and R-15: 1,200 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,438,50.04.001-2,3,Up to a cumulative maximum of 200 sq. ft. shall be exempt for garages that are:
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,554,50.04.001.2,1,"Lot ≥ 5,000 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,562,50.04.001.2,1,"Lot < 5,000 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,699,50.04.001.2,2,"For lot sizes up to 10,000 sq. ft. – up to a cumulative maximum of 200 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,703,50.04.001.2,2,"For lot sizes greater than 10,000 sq. ft. – up to a cumulative maximum of 400 sq. ft."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,1047,50.04.001-8,1,"Up to a cumulative maximum of 400 sq. ft. for lots greater than 10,000 sq. ft. in area."
or,unfielded,,or/clackamas/lake-oswego/50.04.dimensional.txt,1098,50.04.001-9,2,One: 50 ft.
